validator_address,validator_index,state,activated_at,activated_epoch,delegated_at,delegated_block,exited_at,exited_epoch,deposit_tx_sender,execution_fee_recipient,withdrawal_credentials,effective_balance,balance,consensus_rewards,execution_rewards,rewards,claimable_execution_rewards,claimable_consensus_rewards,gross_apy,is_kiln,updated_at,eigenlayer,estimated_next_skimming_slot,estimated_next_skimming_at,activation_eligibility_epoch,activation_eligibility_at
0x800000b3884235f70b06fec68c19642fc9e81e34fbe7f1c0ae156b8b45860dfe5ac71037ae561c2a759ba83401488e18,886680,active_ongoing,2023-09-28T12:00:00Z,,,,,,,0x670B24610DF99b1685aEAC0dfD5307B92e0cF4d7,00f2d40ebe84d42bab7eea8ae28672622380c7655d34dfb9f55eae5087aa70cc,32000000000000000000,32458954262000000000,458954262000000000,5552011204996573,464506273204996573,,,1.8086505,False,2024-07-17T10:13:26Z,,,,,
0x8000011bc03bbf99ac5964d14d3bb52de983c848cc3734d736235a19715e8cbbd5e963163eb4bd2d8cd473d103b95c12,1085182,active_ongoing,2023-09-28T12:00:00Z,,,,,,,,00b8c2c2d0a1332b3bab78d6be1a0eaa9fb59340df8beb6adbc322826305586c,32000000000000000000,32380687832000000000,380687832000000000,0,380687832000000000,,,1.4822862,False,2024-07-17T10:13:26Z,,,,,
0x8000052ed9f9a11aa4e686fe335e17def580429f9e9aec5d86cacfd7ace1d943c5d498ea7ea420849b94ce3a48f9420b,1714716,active_ongoing,2024-05-25T14:27:12Z,54023.0,2024-05-24T12:26:48Z,1602997.0,,,0xa5Ffee993b69aAFFf736fC5aB47E78fDc6d19AD5,0xE73a3602b99f1f913e72F8bdcBC235e206794Ac8,0100000000000000000000002092300d7b2625984032c962c6900bd4cfce1e41,32000000000000000000,32002889469000000000,129215496000000000,8604211682903654,137819707682903654,,,2.9751124,False,2024-07-17T10:13:28Z,,2018032.0,2024-07-04T18:46:24Z,53930.0,2024-05-25T04:32:00Z
0x800006c14d263b02ffe1fcfeb7c14cfb35ae18dad6248fb37beb052f067b978beab346893438a6fa3e306d864e620922,1729205,active_ongoing,2024-06-14T23:12:00Z,58605.0,2024-06-14T06:14:24Z,1732374.0,,,0xff9E47B2EBc22eFA1c680dcd2935872467E5625E,,010000000000000000000000f0179dec45a37423ead4fad5fcb136197872ead9,32000000000000000000,32002870605000000000,44427190000000000,0,44427190000000000,,,1.5604671,False,2024-07-17T10:13:26Z,,2018471.0,2024-07-04T20:14:12Z,58597.0,2024-06-14T22:20:48Z
0x8000075a08461ed544c9421486de582e6f7671d703fd882920585c4077c95d47b93706f7319ecd9d72193aadfa9f64c7,10719,active_ongoing,2023-09-28T12:00:00Z,,,,,,,0x836BB87166C6a8626BD24E85cb27311BCD343993,00e441e61b54fb51666c6b2a32ce4ad9f0c478585ef4f22589e3b2462ee7f6c8,32000000000000000000,32238625924000000000,238625924000000000,3406789899875904,242032713899875904,,,0.94240403,False,2024-07-17T10:13:29Z,,,,,
0x800009f644592de8d2de0da0caca00f26fd6fb3d7f99f57101bbbfb45d4b166f8dbe5fd82b3611e6e90fe323de955bd2,68945,active_ongoing,2023-09-28T12:00:00Z,,,,,,,0x8FC558a2b0352f9E03488986679374C961A599BB,010000000000000000000000d6ac1955d2364cffc41ce5c00bc590f76fb7e533,32000000000000000000,32002339473000000000,486658978000000000,1260957149269476,487919935149269476,,,1.8998164,False,2024-07-17T10:13:29Z,,2021118.0,2024-07-05T05:03:36Z,,
0x80000ac63ef6315f52689ca8740ccf19822b66e185e37f6a31768dcc8fe555aa547a39018c59dd4f09623ff39912f4b3,460297,active_ongoing,2023-09-28T12:00:00Z,,,,,,,0x3826539Cbd8d68DCF119e80B994557B4278CeC9f,001536817f6718174cb7a28348511a281759874a0460ee27ff2e8bc4aa7d9bee,32000000000000000000,32138244432000000000,138244432000000000,2009783243270832,140254215243270832,,,0.5461086,False,2024-07-17T10:13:29Z,,,,,
0x80000b1388d41e2cb346e6a85d94fccc6510a11d5bd91699e156907b53e1f5c265effa87f492b7cba7fe218f232c6c39,218133,active_ongoing,2023-09-28T12:00:00Z,,,,,,,0x59eCf48345A221E0731E785ED79eD40d0A94E2A5,005f2876e03469c83bd0c89ade9b220c577f5899fa71ae5d4c88d7de755840d2,32000000000000000000,32377281116000000000,377281116000000000,9807735394656605,387088851394656605,,,1.5072099,False,2024-07-17T10:13:28Z,,,,,
0x800010c6cde9a31d218347c9d042ceff227a1dbec3970336bd8cd6d767fd0f2e587332ef6a3010b1b0f5d04288483d44,500414,active_ongoing,2023-09-28T12:00:00Z,,,,,,,0x1268AD189526AC0b386faF06eFfC46779c340eE6,00c7b30612b47472afafea5badcd991874e74c9e24ae17778c3d05b38a9ceeea,32000000000000000000,32394057189000000000,394057189000000000,5336345982923458,399393534982923458,,,1.5551207,False,2024-07-17T10:13:28Z,,,,,
0x80001110b0c7e1dd29950c1a725da8d1bb05d3e6717b40f69f89a066021ef447f577fcccbf85a8c040f27c3c71cfbdff,1702752,active_ongoing,2024-05-08T05:36:00Z,50115.0,2024-05-07T12:36:00Z,1496184.0,,,0xE8C927A1FA792edDeFe23FDa643a62E03f999830,,000e09e0294c48ce30555bc7e261d73af7cd68015a4b47bf713a4ab710fad3c2,32000000000000000000,31912180200000000000,-87819800000000000,0,-87819800000000000,,,-1.4267644,False,2024-07-17T10:13:26Z,,,,50084.0,2024-05-08T02:17:36Z
0x80001245e91582df7df8507e6dc2c6e08bb15c6903fa96bf25d4bf186b02c95a0e3eb2ab1f9f6e0373d59ba99554a13c,367736,active_ongoing,2023-09-28T12:00:00Z,,,,,,,,01000000000000000000000073b2e0e54510239e22cc936f0b4a6de1acf0abde,32000000000000000000,32000240159000000000,358958742000000000,0,358958742000000000,,,1.3976796,False,2024-07-17T10:13:28Z,,2030382.0,2024-07-06T11:56:24Z,,
0x80001613abf84eaebb7f8dc27c4b500f32242574d69134e575b9c8ccb249f2f9459bff00c124c883708f5c35bcde350e,69919,active_ongoing,2023-09-28T12:00:00Z,,,,,,,0x8FC558a2b0352f9E03488986679374C961A599BB,010000000000000000000000d6ac1955d2364cffc41ce5c00bc590f76fb7e533,32000000000000000000,32002338942000000000,479410523000000000,40697256354945328,520107779354945328,,,2.0251465,False,2024-07-17T10:13:26Z,,2021179.0,2024-07-05T05:15:48Z,,
0x8000170727dc0b6dd5b57f788fa790bc7b09fdcb80acb33a264f66a39400e1e979b991252d7981e57b21f66ea3e185fc,654447,active_ongoing,2023-09-28T12:00:00Z,,,,,,,0xc6e2459991BfE27cca6d86722F35da23A1E4Cb97,008c47f7c01ea0991580f3b727b83467078bfb322921555352a35794350f8397,32000000000000000000,32503246374000000000,503246374000000000,25445342403294154,528691716403294154,,,2.0585697,False,2024-07-17T10:13:26Z,,,,,
0x80001887f6c44f54e043866a6536b940f1c2bdf0a99203f217940fab8684e77fa1c9cc64537464d7d2b681115eec446a,205528,active_ongoing,2023-09-28T12:00:00Z,,,,,,,,0086ffd967760f56f38d696bb89baad22353f4c917faeb4db53bd7ceb8b23586,32000000000000000000,32300165956000000000,300165956000000000,0,300165956000000000,,,1.1687578,False,2024-07-17T10:13:26Z,,,,,
0x8000188ed271f46468354aef44e5d5868bad7d7cb6902df8663be708641984b7d4344bc384a4ab6aeb7cfebc8ca2803c,874089,active_ongoing,2023-09-28T12:00:00Z,,,,,,,,010000000000000000000000778f5f13c4be78a3a4d7141bcb26999702f407cf,32000000000000000000,32005461847000000000,406635997000000000,0,406635997000000000,,,1.5833207,False,2024-07-17T10:13:29Z,,2039711.0,2024-07-07T19:02:12Z,,
0x80001a06f26143f27aea276c1d1d1dd4d2209a169982184a0c9f6fa1544eee9bcf086f692652fc94e2de75d6d35eca0e,1114963,active_ongoing,2023-09-28T12:00:00Z,,,,,,,,0011d98ebf2873c29da7578169edf0e2948cc251526623a5f9cb44ae54f2b233,32000000000000000000,32399906871000000000,399906871000000000,0,399906871000000000,,,1.5571195,False,2024-07-17T10:13:28Z,,,,,
0x80001d19978f72ea2959fc6d682ce04cdf41e22106ce67546b6edeef7e68093cbcaf0f04690dc259f2d2c36f69534fe7,1632918,active_ongoing,2024-03-29T23:44:00Z,41285.0,2024-03-27T17:14:48Z,1227923.0,,,0x42a53EB005A09131c0E54125B0d8Ee0DF77c694E,0x0232783d2A3a4De902a4fC0425cB4140a27C8d48,0100000000000000000000000232783d2a3a4de902a4fc0425cb4140a27c8d48,32000000000000000000,32003509138000000000,195446069000000000,7545086342590023,202991155342590023,,,2.1154208,False,2024-07-17T10:13:26Z,,2049115.0,2024-07-09T02:23:00Z,40936.0,2024-03-28T10:30:24Z
0x80001e3d8950c45ebc1b73f323e6efe1b94fede51b58af1a35a3d2b164b882f383f8086d50e787a2ace84300e3ddccd8,130687,active_ongoing,2023-09-28T12:00:00Z,,,,,,,0x9baA3244565d51D9C7897c0EB6679eD4890e536E,0100000000000000000000009baa3244565d51d9c7897c0eb6679ed4890e536e,32000000000000000000,32001926573000000000,480360268000000000,5062699198791170,485422967198791170,,,1.8900939,False,2024-07-17T10:13:28Z,,2023102.0,2024-07-05T11:40:24Z,,
0x8000219bf0247d68b63c78022baea77aeba904d72b0012ac3678a7e8072bde74ed49de135b2a079e5ce78f23cc81968f,192351,active_ongoing,2023-09-28T12:00:00Z,,,,,,,0x9baA3244565d51D9C7897c0EB6679eD4890e536E,0100000000000000000000009baa3244565d51d9c7897c0eb6679ed4890e536e,32000000000000000000,32001067502000000000,513943509000000000,15740906728867094,529684415728867094,,,2.062435,False,2024-07-17T10:13:29Z,,2026956.0,2024-07-06T00:31:12Z,,
0x80002248327da011001f38ab78e277ed5ddc1448078a1ba3f1cb47fd20f65f6de07808d7c3c96a2a795011b25100cc1d,922386,active_ongoing,2023-09-28T12:00:00Z,,,,,,,0x455E5AA18469bC6ccEF49594645666C587A3a71B,00bd1333633ae4eaeaf10e9b3a94b005b3c121d5d9a07417002c6bd80b823f96,32000000000000000000,32735604395000000000,735604395000000000,2445347773315072,738049742773315072,,,2.873748,False,2024-07-17T10:13:26Z,,,,,
0x800027854c2af21cffbe6a77d8786ae4fc7f5deb89b20eb758e3403746e0c16d5677e2fbff20244da431867f1e7f58d2,39738,active_ongoing,2023-09-28T12:00:00Z,,,,,,,0x8FC558a2b0352f9E03488986679374C961A599BB,0053a74b6e297a935e477e6ed613ddff5c239e143ae5051e8ecc2638bda26c57,32000000000000000000,32585183454000000000,585183454000000000,23466333815883654,608649787815883654,,,2.3699028,False,2024-07-17T10:13:27Z,,,,,
0x80002b82d58885054be1c2bb363f7b0139919e3bbf49d397cdd21acdc93649df5d7540fc2740d51ddef60961cda602ea,1716320,withdrawal_done,2024-05-29T05:23:12Z,54838.0,2024-05-28T11:58:12Z,1627369.0,2024-06-14T10:36:48Z,58487.0,0x3202B5B0602274197CcB22B8c02CEC9539990c7c,,0100000000000000000000003202b5b0602274197ccb22b8c02cec9539990c7c,0,0,16353355000000000,0,16353355000000000,,,0.37900123,False,2024-07-17T10:13:28Z,,,,54824.0,2024-05-29T03:53:36Z
0x80002c02c24de59269b6df66bc752ec877745423b5a6aa45f39903354778c6a1492748c7828c3ba933e49848c9553c89,696737,active_ongoing,2023-09-28T12:00:00Z,,,,,,,0x65Fdc9a172746d54a5B05e6Ac5130b991abAF079,009b6560ef0a2721719f2fdb4c8d3f63cc1092c66dc12f39bc71762379cce033,32000000000000000000,32440156586000000000,440156586000000000,109159200000000,440265745200000000,,,1.7142651,False,2024-07-17T10:13:29Z,,,,,
0x80002c492778d8db939cda0bbec7b96a4209c883a21c8cfdc6a726a2012d9f1c15f0a4e72b54fd1707aa22a1fe66150d,851230,active_ongoing,2023-09-28T12:00:00Z,,,,,,,,010000000000000000000000778f5f13c4be78a3a4d7141bcb26999702f407cf,32000000000000000000,32005633528000000000,403376830000000000,0,403376830000000000,,,1.5706304,False,2024-07-17T10:13:26Z,,2038282.0,2024-07-07T14:16:24Z,,
