validator_address,validator_index,state,activated_at,activated_epoch,delegated_at,delegated_block,exited_at,exited_epoch,deposit_tx_sender,execution_fee_recipient,withdrawal_credentials,effective_balance,balance,consensus_rewards,execution_rewards,rewards,claimable_execution_rewards,claimable_consensus_rewards,gross_apy,is_kiln,updated_at,eigenlayer,estimated_next_skimming_slot,estimated_next_skimming_at,activation_eligibility_epoch,activation_eligibility_at
0x804f3630e4e680af6fac26e13871fbc0de9691dbcb04f307afc4b5c1b1fab4109ec157604f6df99010fa80a0ed266ab4,1595798,active_ongoing,2024-02-12T19:28:00Z,30895,2024-02-10T13:22:24Z,915641,,,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,010000000000000000000000195104dd1d3648141f42b85fa4fef6f9879825aa,32000000000000000000,32005204939000000000,294800206000000000,19906071096908149,314706277096908149,,,2.2925339,False,2024-07-18T08:53:27Z,,2047631,2024-07-08T21:26:12Z,30502.0,2024-02-11T01:32:48Z
0x805c79c6c5e8fc098672051915813477363db244e602aaf618ba602fe4a217f884c89cb98cd49092cc0cabc6a70bbd1a,1594850,active_ongoing,2024-02-12T06:52:48Z,30777,2024-02-06T15:58:36Z,889474,,,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,010000000000000000000000195104dd1d3648141f42b85fa4fef6f9879825aa,32000000000000000000,32005230124000000000,247217039000000000,295032133160752,247512071133160752,,,1.7970266,False,2024-07-18T08:53:25Z,,2047614,2024-07-08T21:22:48Z,29672.0,2024-02-07T09:00:48Z
0x80b9f635f20ca117b380b7c7135480154af7f46bdf1166cd8381072ccf822fe5f98ea84286aabbaabdc220c29969a5f9,1594875,active_ongoing,2024-02-12T07:12:00Z,30780,2024-02-06T16:00:24Z,889482,,,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,,010000000000000000000000195104dd1d3648141f42b85fa4fef6f9879825aa,32000000000000000000,32005205869000000000,194921951000000000,0,194921951000000000,,,1.4153236,False,2024-07-18T08:53:26Z,,2047615,2024-07-08T21:23:00Z,29672.0,2024-02-07T09:00:48Z
0x80d8f395e634ef2b772398b7d6b166d2f04b1f821b8664b8f286eb4ef35d97a5306a38acc5beaddfd7a675129ca7300f,1594895,active_ongoing,2024-02-12T07:31:12Z,30783,2024-02-15T08:32:48Z,948536,,,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,010000000000000000000000195104dd1d3648141f42b85fa4fef6f9879825aa,32000000000000000000,32005224979000000000,278547450000000000,14432518062639069,292979968062639069,,,2.127501,False,2024-07-18T08:53:26Z,,2047616,2024-07-08T21:23:12Z,29672.0,2024-02-07T09:00:48Z
0x8129f4f60c0485d6c763df83522d7f5f241b9800597eecafcd93b7dfef176aba2e8953b3ed4d8cbffcc8932a9fb67491,1595831,active_ongoing,2024-02-12T20:00:00Z,30900,2024-02-10T13:25:24Z,915655,,,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,,010000000000000000000000195104dd1d3648141f42b85fa4fef6f9879825aa,32000000000000000000,32005212922000000000,193929351000000000,0,193929351000000000,,,1.4129133,False,2024-07-18T08:53:25Z,,2047633,2024-07-08T21:26:36Z,30502.0,2024-02-11T01:32:48Z
0x81445b1bfc10d5199d670dfa93fe86b09e56bb53d83cc3689e1555ff4a0c0fa86460f29c020d6cf9b87d951a2a5aa8e0,1594906,active_ongoing,2024-02-12T07:37:36Z,30784,2024-02-06T16:03:00Z,889494,,,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,010000000000000000000000195104dd1d3648141f42b85fa4fef6f9879825aa,32000000000000000000,32005230408000000000,401863496000000000,2879796460076067,404743292460076067,,,2.939164,False,2024-07-18T08:53:25Z,,2047617,2024-07-08T21:23:24Z,29672.0,2024-02-07T09:00:48Z
0x815d86c5fd8609536f4e4b06b32955dbc82fc2b81f8c8d33afc99f34931652c3da9bb9ecce8499830bb53722a633d6c4,1596357,active_ongoing,2024-02-15T23:24:48Z,31607,2024-02-15T08:52:24Z,948633,,,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,,010000000000000000000000195104dd1d3648141f42b85fa4fef6f9879825aa,32000000000000000000,32005202853000000000,190866162000000000,0,190866162000000000,,,1.4190779,False,2024-07-18T08:53:25Z,,2047651,2024-07-08T21:30:12Z,31589.0,2024-02-15T21:29:36Z
0x81c8c3ab5a020b1146419c3bedce657a822b51a68a65cd6c33eb032f3eec68581c5458eaff37d2bcfbd8585f86d30e2c,1595771,active_ongoing,2024-02-12T19:08:48Z,30892,2024-02-10T13:19:36Z,915629,,,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,,010000000000000000000000195104dd1d3648141f42b85fa4fef6f9879825aa,32000000000000000000,32005195554000000000,194298742000000000,0,194298742000000000,,,1.4152832,False,2024-07-18T08:53:25Z,,2047629,2024-07-08T21:25:48Z,30502.0,2024-02-11T01:32:48Z
0x81cf926ca8c8d0e24608c97b702f96f14c4f751a2b21e7773713dba4639f94904befeb715efe13ef9d77e92020a6245a,1596278,active_ongoing,2024-02-15T22:20:48Z,31597,2024-02-15T08:52:24Z,948633,,,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,,010000000000000000000000195104dd1d3648141f42b85fa4fef6f9879825aa,32000000000000000000,32005239346000000000,190746525000000000,0,190746525000000000,,,1.4177777,False,2024-07-18T08:53:25Z,,2047646,2024-07-08T21:29:12Z,31589.0,2024-02-15T21:29:36Z
0x81e62408a4098dc93a991bb2ed1180e2c625cc57cf26ae8bbb584c89bf7d5bf01c0198dbdebe1e9d48baf001a10f105e,1594899,active_ongoing,2024-02-12T07:31:12Z,30783,2024-02-06T16:02:24Z,889491,,,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,010000000000000000000000195104dd1d3648141f42b85fa4fef6f9879825aa,32000000000000000000,32005245149000000000,245549631000000000,2470793757873599,248020424757873599,,,1.8010232,False,2024-07-18T08:53:27Z,,2047617,2024-07-08T21:23:24Z,29672.0,2024-02-07T09:00:48Z
0x81f115cfffec7a5b472b4372422f90d607a4d53340e863923f8afe4c404b71fdbe4872edaa26f85a5039454300ca66ac,1596275,active_ongoing,2024-02-15T22:20:48Z,31597,2024-02-15T08:52:24Z,948633,,,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,010000000000000000000000195104dd1d3648141f42b85fa4fef6f9879825aa,32000000000000000000,32005222054000000000,242327627000000000,2230678156493491,244558305156493491,,,1.817749,False,2024-07-18T08:53:25Z,,2047646,2024-07-08T21:29:12Z,31589.0,2024-02-15T21:29:36Z
0x8203d612fa2c1e7e21459835d7204b482cee71a6087688cc39185566a0430bd9c9eb1fbfe67166be7e3f97dfdf6e7895,1596265,active_ongoing,2024-02-15T22:14:24Z,31596,2024-02-15T08:52:24Z,948633,,,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,,010000000000000000000000195104dd1d3648141f42b85fa4fef6f9879825aa,32000000000000000000,32005213034000000000,190701530000000000,0,190701530000000000,,,1.4174021,False,2024-07-18T08:53:27Z,,2047645,2024-07-08T21:29:00Z,31589.0,2024-02-15T21:29:36Z
0x82044a1b60c94aa5eda7caa28060a94543524c0cc8d42530e198ca9d4d129c72a57691cb981b5888af683c59bc95dc24,1594879,active_ongoing,2024-02-12T07:18:24Z,30781,2024-02-06T16:00:48Z,889484,,,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,010000000000000000000000195104dd1d3648141f42b85fa4fef6f9879825aa,32000000000000000000,32005209078000000000,282554975000000000,4220058103852990,286775033103852990,,,2.0823255,False,2024-07-18T08:53:26Z,,2047615,2024-07-08T21:23:00Z,29672.0,2024-02-07T09:00:48Z
0x823059c07d56ecf2328d66335ee4f772a85500f78ef467e14b150488655684c4d6d4fece5adc6dc32c5932fb9c8135c5,1595837,active_ongoing,2024-02-12T20:00:00Z,30900,2024-02-10T13:25:48Z,915657,,,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,,010000000000000000000000195104dd1d3648141f42b85fa4fef6f9879825aa,32000000000000000000,32005228700000000000,194110361000000000,0,194110361000000000,,,1.4142321,False,2024-07-18T08:53:25Z,,2047633,2024-07-08T21:26:36Z,30502.0,2024-02-11T01:32:48Z
0x8239f076eb8879a6e4a02f5c6822731c0ce655a298f59644ebd873602a6c4e766e48d68cc8952d2ef2752ccc40e9b228,1595749,active_ongoing,2024-02-12T18:49:36Z,30889,2024-02-10T13:16:00Z,915612,,,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,,010000000000000000000000195104dd1d3648141f42b85fa4fef6f9879825aa,32000000000000000000,32005215997000000000,194288206000000000,0,194288206000000000,,,1.4150859,False,2024-07-18T08:53:27Z,,2047628,2024-07-08T21:25:36Z,30502.0,2024-02-11T01:32:48Z
0x824d34d52379b32d0b638a4a8105aba0eaf3daab30396d9c88aac02a8a092e21c06155a88eeb191b0862525a8c500c73,1595748,active_ongoing,2024-02-12T18:49:36Z,30889,2024-02-10T13:15:48Z,915611,,,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,0x195104dD1d3648141f42B85Fa4Fef6F9879825aa,010000000000000000000000195104dd1d3648141f42b85fa4fef6f9879825aa,32000000000000000000,32005229269000000000,246130258000000000,3742814645390716,249873072645390716,,,1.8199348,False,2024-07-18T08:53:27Z,,2047628,2024-07-08T21:25:36Z,30502.0,2024-02-11T01:32:48Z
